,respiratory system disease,integumentary system disease,immune system disease,gastrointestinal system disease,musculoskeletal system disease,acquired metabolic disease,urinary system disease,cardiovascular system disease,nervous system disease,cancer,multiple
8208,0,0,0,1,0,0,0,0,0,0,0
9518,0,0,0,0,0,0,0,0,0,0,1
1012,0,0,0,0,0,0,0,0,0,0,1
10160,0,0,0,0,0,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0,0,0,1
10257,0,0,0,0,0,0,0,0,0,0,1
105,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,1,0,0,0,0,0,0
11278,0,0,0,0,0,0,0,0,0,0,0
1129,0,0,0,0,0,0,0,0,0,0,1
1138,1,0,0,0,0,0,0,0,0,0,0
114134,0,0,0,0,0,0,0,0,1,0,0
114786,0,0,0,0,0,0,0,0,0,0,0
114788,0,0,0,0,0,0,0,0,0,1,0
121601,0,0,0,0,0,0,0,0,1,0,0
1268,0,0,0,0,0,0,0,0,0,0,1
140683,0,0,0,0,0,0,0,0,0,0,0
140733,0,0,0,0,0,0,0,1,0,0,0
143098,0,0,0,0,0,0,0,0,0,0,0
143379,0,0,0,0,0,0,0,0,0,0,0
143458,0,0,0,0,0,0,0,0,0,0,0
143503,0,0,0,0,0,0,0,0,0,0,0
147685,0,0,0,0,0,0,0,0,0,0,0
1565,0,0,0,0,0,0,0,0,0,0,1
1653,0,0,0,0,0,0,0,0,0,1,0
167465,0,0,0,0,0,0,0,0,0,1,0
1769,0,0,0,0,0,0,0,0,0,0,0
1793,0,0,0,0,0,0,0,0,0,0,0
1813,0,0,0,0,0,0,0,0,0,0,1
1826,0,0,0,0,0,1,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0
2120,0,0,0,0,0,0,0,0,0,0,1
2166,0,0,0,0,0,0,0,0,0,0,1
2272,0,0,0,0,0,0,0,0,0,1,0
22925,0,0,0,0,0,0,0,0,0,0,0
22998,0,0,0,0,0,0,0,0,0,0,0
23034,0,0,0,0,0,0,0,0,0,0,0
23214,0,0,0,0,0,0,0,0,0,0,0
23307,0,0,0,0,0,0,0,0,0,0,0
23345,0,0,0,0,0,0,0,0,0,1,0
253782,0,0,0,0,0,0,0,0,0,0,0
25807,0,0,0,0,0,0,0,0,0,0,0
259217,0,0,0,0,0,0,0,0,0,1,0
26230,0,0,0,0,0,0,0,0,0,0,0
27146,0,0,0,0,0,0,0,0,0,0,0
2893,0,0,0,0,0,0,0,0,1,0,0
2898,0,0,0,0,0,0,0,0,0,0,0
29119,1,0,0,0,0,0,0,0,0,0,0
29126,0,0,1,0,0,0,0,0,0,0,0
2915,0,0,0,0,0,0,0,0,1,0,0
2917,0,0,0,0,0,0,0,0,0,0,0
29922,0,0,0,0,0,0,0,0,0,0,0
344805,0,0,0,0,0,0,0,0,0,0,0
3643,0,0,0,0,0,0,0,0,0,0,1
3899,0,0,0,0,1,0,0,0,0,0,0
3983,0,0,0,0,0,0,0,0,0,0,0
401207,0,0,0,0,0,0,0,0,0,0,0
4482,0,0,0,0,0,0,0,0,0,0,0
4646,0,0,0,0,0,0,0,0,0,0,1
481,0,0,0,0,0,0,0,0,0,0,1
4852,0,0,0,0,0,0,0,0,0,0,1
4897,0,0,0,0,0,0,0,0,0,1,0
4985,0,0,0,0,0,0,0,0,1,0,0
5087,0,0,0,0,0,0,0,0,0,1,0
51082,0,0,0,0,0,0,0,0,0,0,0
51151,0,0,0,0,0,0,0,0,0,1,0
5137,0,0,0,0,0,0,0,0,0,0,0
51660,0,0,0,0,0,0,0,0,0,0,0
5366,0,0,0,0,0,0,0,0,0,1,0
54927,0,0,0,0,0,0,0,0,0,0,0
55198,0,0,0,0,0,0,0,0,0,0,1
55297,0,0,0,0,0,0,0,0,0,0,0
55690,0,0,0,0,0,1,0,0,0,0,0
55691,0,0,0,0,0,0,0,0,1,0,0
55717,0,0,0,0,0,0,0,0,0,1,0
55742,0,0,0,0,0,0,0,0,0,0,0
5581,0,0,0,0,0,0,0,0,0,0,1
5583,0,0,0,0,0,0,0,0,0,0,1
55930,0,0,0,0,0,0,0,0,0,0,0
57451,0,0,0,0,0,0,0,0,0,0,0
5768,0,0,0,0,0,0,0,0,0,0,0
57733,0,0,0,0,0,0,0,0,0,0,0
5890,0,0,0,0,0,0,0,0,0,0,1
64131,0,0,0,0,0,0,0,0,0,0,0
64866,0,0,0,0,0,0,1,0,0,0,0
65217,0,0,0,0,0,0,0,0,0,0,0
6532,0,0,0,0,0,0,0,1,0,0,0
6555,0,0,0,0,0,0,0,0,1,0,0
6581,0,0,0,0,0,0,0,0,0,0,1
7260,0,0,0,0,0,0,0,0,0,0,0
79632,0,0,0,0,0,0,0,0,0,0,0
79750,0,0,0,0,0,0,0,0,0,0,0
79809,0,0,0,0,0,0,1,0,0,0,0
79875,0,0,0,0,0,0,0,0,0,0,0
80031,0,0,0,0,0,0,0,0,0,0,0
80034,0,0,0,0,0,0,0,0,0,0,0
80095,0,0,0,0,0,0,0,0,0,0,0
80206,0,0,0,0,0,0,0,0,0,0,0
8048,0,0,0,0,0,0,0,1,0,0,0
81035,0,0,0,0,0,0,0,0,0,0,0
83938,0,0,0,0,0,0,0,0,0,0,0
8412,0,0,0,0,0,0,0,0,0,1,0
84247,0,0,0,0,0,0,0,0,0,0,0
84668,0,0,0,0,0,0,0,0,1,0,0
84871,0,0,0,0,0,0,0,0,0,0,0
8569,0,0,0,0,0,0,0,0,0,0,0
9128,0,0,0,0,0,0,0,0,1,0,0
91752,0,0,0,0,0,0,0,0,0,1,0
9271,0,0,0,0,0,0,0,0,0,0,0
93664,0,0,0,0,0,0,0,0,0,0,0
9369,0,0,0,0,0,1,0,0,0,0,0
9465,0,0,0,0,0,0,0,0,0,0,0
9547,0,0,0,0,0,0,0,0,0,0,1
9557,0,0,0,0,0,0,0,0,0,0,0
9748,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,1
2539,0,0,0,0,0,0,0,0,0,0,1
2729,0,0,0,0,0,0,0,0,0,0,1
2821,0,0,0,0,0,0,0,0,0,0,1
2936,0,0,0,0,0,0,0,0,0,0,1
3043,0,0,1,0,0,0,0,0,0,0,0
3162,0,0,0,0,0,0,0,0,0,0,1
3440,0,0,0,0,0,0,0,0,0,0,1
3704,0,0,1,0,0,0,0,0,0,0,0
6521,0,0,0,0,0,0,0,0,0,0,1
6710,0,0,0,0,0,0,0,0,0,0,1
7167,0,0,0,0,0,0,0,0,0,0,1
100506023,0,0,0,0,0,0,0,0,0,0,1
10057,0,0,0,0,0,0,0,0,0,0,1
10125,0,0,0,0,0,0,0,0,0,0,1
101927437,0,0,0,0,1,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0,0,0,1
10274,0,0,0,0,1,0,0,0,0,0,0
10586,0,0,0,0,1,0,0,0,0,0,0
10628,0,0,0,0,1,0,0,0,0,0,0
10665,0,0,0,0,0,0,0,0,0,0,1
10666,0,0,0,0,0,0,0,0,0,0,1
10678,0,0,0,0,0,0,0,0,0,0,1
10745,0,0,0,0,0,0,0,0,0,0,1
10956,0,0,0,0,1,0,0,0,0,0,0
11102,0,0,0,0,1,0,0,0,0,0,0
11170,0,0,0,0,0,0,0,0,0,0,1
122618,0,0,0,0,1,0,0,0,0,0,0
1235,0,0,0,0,0,0,0,0,0,0,1
1244,0,0,0,0,0,0,0,0,0,0,1
130540,0,0,0,0,0,0,0,0,0,0,1
135,0,0,0,0,0,0,0,0,0,0,1
1404,0,0,0,0,1,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0,1
1493,0,0,0,0,0,0,0,0,0,0,1
150577,0,0,0,0,1,0,0,0,0,0,0
1509,0,0,0,0,0,0,0,0,0,0,1
151056,0,0,0,0,1,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,1
160364,0,0,0,0,1,0,0,0,0,0,0
1656,0,0,0,0,1,0,0,0,0,0,0
1687,0,0,0,0,1,0,0,0,0,0,0
171425,0,0,0,0,1,0,0,0,0,0,0
1719,0,0,0,0,0,0,0,0,0,0,1
176,0,0,0,0,0,0,0,0,0,0,1
177,0,0,0,0,0,0,0,0,0,0,1
1776,0,0,0,0,1,0,0,0,0,0,0
1803,0,0,0,0,0,0,0,0,0,0,1
1827,0,0,0,0,0,0,0,0,0,0,1
196,0,0,0,0,0,0,0,0,0,0,1
200734,0,0,0,0,1,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,1
2147,0,0,0,0,0,0,0,0,0,0,1
219790,0,0,0,0,1,0,0,0,0,0,0
2212,0,0,0,0,0,0,0,0,0,0,1
221895,0,0,0,0,0,0,0,0,0,0,1
22806,0,0,0,0,0,0,0,0,0,0,1
2289,0,0,0,0,1,0,0,0,0,0,0
23228,0,0,0,0,0,0,0,0,0,0,1
23534,0,0,0,0,0,0,0,0,0,0,1
2356,0,0,0,0,0,0,0,0,0,0,1
23569,0,0,0,0,1,0,0,0,0,0,0
23643,0,0,0,0,1,0,0,0,0,0,0
23766,0,0,0,0,1,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,1
26147,0,0,0,0,1,0,0,0,0,0,0
2618,0,0,0,0,1,0,0,0,0,0,0
26191,0,0,0,0,0,0,0,0,0,0,1
2625,0,0,0,0,0,0,0,0,0,0,1
2638,0,0,0,0,0,0,0,0,0,0,1
285704,0,0,0,0,1,0,0,0,0,0,0
2870,0,0,0,0,1,0,0,0,0,0,0
2920,0,0,0,0,0,0,0,0,0,0,1
2974,0,0,0,0,1,0,0,0,0,0,0
3059,0,0,0,0,0,0,0,0,0,0,1
306,0,0,0,0,0,0,0,0,0,0,1
3115,0,0,0,0,0,0,0,0,0,0,1
3118,0,0,0,0,1,0,0,0,0,0,0
3236,0,0,0,0,0,0,0,0,0,0,1
3237,0,0,0,0,0,0,0,0,0,0,1
3239,0,0,0,0,1,0,0,0,0,0,0
326,0,0,0,0,1,0,0,0,0,0,0
3290,0,0,0,0,0,0,0,0,0,0,1
3394,0,0,0,0,0,0,0,0,0,0,1
342132,0,0,0,0,1,0,0,0,0,0,0
3458,0,0,0,0,0,0,0,0,0,0,1
3486,0,0,0,0,0,0,0,0,0,0,1
3491,0,0,0,0,1,0,0,0,0,0,0
3516,0,0,0,0,1,0,0,0,0,0,0
3557,0,0,0,0,0,0,0,0,0,0,1
3559,0,0,0,0,0,0,0,0,0,0,1
356,0,0,0,0,0,0,0,0,0,0,1
3560,0,0,0,0,0,0,0,0,0,0,1
3570,0,0,0,0,0,0,0,0,0,0,1
3572,0,0,0,0,0,0,0,0,0,0,1
3576,0,0,0,0,0,0,0,0,0,0,1
3586,0,0,0,0,0,0,0,0,0,0,1
3606,0,0,0,0,0,0,0,0,0,0,1
3654,0,0,0,0,1,0,0,0,0,0,0
3655,0,0,0,0,0,0,0,0,0,0,1
3663,0,0,0,0,0,0,0,0,0,0,1
3798,0,0,0,0,1,0,0,0,0,0,0
3934,0,0,0,0,0,0,0,0,0,0,1
4082,0,0,0,0,0,0,0,0,0,0,1
412,0,0,0,0,0,0,0,0,0,0,1
4204,0,0,0,0,0,0,0,0,0,0,1
4218,0,0,0,0,1,0,0,0,0,0,0
4261,0,0,0,0,0,0,0,0,0,0,1
4282,0,0,0,0,0,0,0,0,0,0,1
4313,0,0,0,0,0,0,0,0,0,0,1
4319,0,0,0,0,0,0,0,0,0,0,1
4321,0,0,0,0,0,0,0,0,0,0,1
4353,0,0,0,0,0,0,0,0,0,0,1
4520,0,0,0,0,1,0,0,0,0,0,0
4524,0,0,0,0,0,0,0,0,0,0,1
4688,0,0,0,0,0,0,0,0,0,0,1
471,0,0,0,0,1,0,0,0,0,0,0
4794,0,0,0,0,0,0,0,0,0,0,1
4795,0,0,0,0,1,0,0,0,0,0,0
4982,0,0,0,0,0,0,0,0,0,0,1
50943,0,0,0,0,0,0,0,0,0,0,1
5138,0,0,0,0,0,0,0,0,0,0,1
51744,0,0,0,0,1,0,0,0,0,0,0
5243,0,0,0,0,0,0,0,0,0,0,1
53347,0,0,0,0,0,0,0,0,0,0,1
5341,0,0,0,0,0,0,0,0,0,0,1
5444,0,0,0,0,0,0,0,0,0,0,1
5453,0,0,0,0,1,0,0,0,0,0,0
54826,0,0,0,0,1,0,0,0,0,0,0
54899,0,0,0,0,0,0,0,0,0,0,1
55289,0,0,0,0,0,0,0,0,0,0,1
55755,0,0,0,0,1,0,0,0,0,0,0
5588,0,0,0,0,0,0,0,0,0,0,1
55937,0,0,0,0,0,0,0,0,0,0,1
55971,0,0,0,0,0,0,0,0,0,0,1
56244,0,0,0,0,0,0,0,0,0,0,1
5673,0,0,0,0,1,0,0,0,0,0,0
56901,0,0,0,0,1,0,0,0,0,0,0
57007,0,0,0,0,0,0,0,0,0,0,1
5747,0,0,0,0,0,0,0,0,0,0,1
57705,0,0,0,0,1,0,0,0,0,0,0
5771,0,0,0,0,0,0,0,0,0,0,1
57719,0,0,0,0,1,0,0,0,0,0,0
5788,0,0,0,0,0,0,0,0,0,0,1
5911,0,0,0,0,1,0,0,0,0,0,0
597,0,0,0,0,0,0,0,0,0,0,1
624,0,0,0,0,0,0,0,0,0,0,1
633,0,0,0,0,1,0,0,0,0,0,0
6355,0,0,0,0,0,0,0,0,0,0,1
6366,0,0,0,0,1,0,0,0,0,0,0
6372,0,0,0,0,1,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0,1
640,0,0,0,0,0,0,0,0,0,0,1
6441,0,0,0,0,0,0,0,0,0,0,1
652,0,0,0,0,0,0,0,0,0,0,1
652968,0,0,0,0,1,0,0,0,0,0,0
653361,0,0,0,0,0,0,0,0,0,0,1
654,0,0,0,0,0,0,0,0,0,0,1
6556,0,0,0,0,0,0,0,0,0,0,1
6583,0,0,0,0,0,0,0,0,0,0,1
6611,0,0,0,0,1,0,0,0,0,0,0
6772,0,0,0,0,0,0,0,0,0,0,1
6775,0,0,0,0,0,0,0,0,0,0,1
6821,0,0,0,0,1,0,0,0,0,0,0
7090,0,0,0,0,0,0,0,0,0,0,1
7097,0,0,0,0,0,0,0,0,0,0,1
7112,0,0,0,0,0,0,0,0,0,0,1
7127,0,0,0,0,1,0,0,0,0,0,0
7185,0,0,0,0,0,0,0,0,0,0,1
7189,0,0,0,0,1,0,0,0,0,0,0
7852,0,0,0,0,1,0,0,0,0,0,0
79016,0,0,0,0,1,0,0,0,0,0,0
7917,0,0,0,0,0,0,0,0,0,0,1
79258,0,0,0,0,0,0,0,0,0,0,1
79722,0,0,0,0,0,0,0,0,0,0,1
7980,0,0,0,0,0,0,0,0,0,0,1
800,0,0,0,0,1,0,0,0,0,0,0
8013,0,0,0,0,1,0,0,0,0,0,0
81567,0,0,0,0,0,0,0,0,0,0,1
81849,0,0,0,0,1,0,0,0,0,0,0
8200,0,0,0,0,1,0,0,0,0,0,0
8320,0,0,0,0,0,0,0,0,0,0,1
84159,0,0,0,0,0,0,0,0,0,0,1
84162,0,0,0,0,0,0,0,0,0,0,1
84709,0,0,0,0,1,0,0,0,0,0,0
84752,0,0,0,0,1,0,0,0,0,0,0
85313,0,0,0,0,1,0,0,0,0,0,0
858,0,0,0,0,0,0,0,0,0,0,1
860,0,0,0,0,0,0,0,0,0,0,1
8604,0,0,0,0,0,0,0,0,0,0,1
861,0,0,0,0,0,0,0,0,0,0,1
8714,0,0,0,0,0,0,0,0,0,0,1
8740,0,0,0,0,0,0,0,0,0,0,1
8764,0,0,0,0,0,0,0,0,0,0,1
8836,0,0,0,0,0,0,0,0,0,0,1
90355,0,0,0,0,1,0,0,0,0,0,0
9052,0,0,0,0,1,0,0,0,0,0,0
9135,0,0,0,0,1,0,0,0,0,0,0
9145,0,0,0,0,0,0,0,0,0,0,1
916,0,0,0,0,0,0,0,0,0,0,1
921,0,0,0,0,0,0,0,0,0,0,1
9308,0,0,0,0,0,0,0,0,0,0,1
9355,0,0,0,0,1,0,0,0,0,0,0
9370,0,0,0,0,0,0,0,0,0,0,1
940,0,0,0,0,0,0,0,0,0,0,1
9415,0,0,0,0,0,0,0,0,0,0,1
9429,0,0,0,0,0,0,0,0,0,0,1
9474,0,0,0,0,0,0,0,0,0,0,1
958,0,0,0,0,0,0,0,0,0,0,1
4049,0,0,0,0,0,0,0,0,0,0,1
4210,0,0,0,0,0,0,0,1,0,0,0
4929,0,1,0,0,0,0,0,0,0,0,0
64127,0,0,0,0,0,0,0,0,0,0,1
968,0,0,0,0,0,0,0,0,0,0,1
10533,0,0,1,0,0,0,0,0,0,0,0
113235,0,0,1,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,1
1440,0,0,0,0,0,0,0,0,0,0,1
183,0,0,0,0,0,0,0,0,0,0,1
30061,0,0,0,0,0,0,0,0,0,0,1
3240,0,0,0,0,0,0,0,0,0,0,1
3481,0,0,0,0,0,0,0,0,0,0,1
3562,0,0,0,0,0,0,0,0,0,0,1
374569,0,0,1,0,0,0,0,0,0,0,0
51312,0,0,1,0,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0,0,0,0,1
5617,0,0,0,0,0,0,0,0,0,0,1
5741,0,0,0,0,0,0,0,0,0,0,1
57817,0,0,0,0,0,0,0,0,0,0,1
7298,0,0,0,0,0,0,0,0,0,0,1
8797,0,0,0,0,0,0,0,0,0,0,1
10232,0,0,0,0,0,0,0,0,0,1,0
1956,0,0,0,0,0,0,0,0,0,0,1
2064,0,0,0,0,0,0,0,0,0,0,1
2263,0,0,0,0,0,0,0,0,0,0,1
2778,0,0,0,0,0,0,0,0,0,0,1
3417,0,0,0,0,0,0,0,0,0,1,0
3418,0,0,0,0,0,0,0,0,0,0,1
3845,0,0,0,0,0,0,0,0,0,1,0
4089,0,0,0,0,0,0,0,0,0,0,1
5178,0,0,0,0,0,0,0,0,0,1,0
54894,0,0,0,0,0,0,0,0,0,1,0
55193,0,0,0,0,0,0,0,0,0,1,0
5566,0,0,0,0,0,0,0,0,0,1,0
5567,0,0,0,0,0,0,0,0,0,1,0
5774,0,0,0,0,0,0,0,0,0,1,0
58508,0,0,0,0,0,0,0,0,0,1,0
6092,0,0,0,0,0,0,0,0,0,1,0
6528,0,0,0,0,0,0,0,0,0,1,0
8289,0,0,0,0,0,0,0,0,0,1,0
8314,0,0,0,0,0,0,0,0,0,1,0
1027,0,0,0,0,0,0,0,0,0,0,1
1616,0,0,0,0,0,0,0,0,0,1,0
4221,0,0,0,0,0,0,0,0,0,1,0
546,0,0,0,0,0,0,0,0,0,1,0
5744,0,0,0,0,0,0,0,0,0,0,1
673,0,0,0,0,0,0,0,0,0,1,0
6751,0,0,0,0,0,0,0,0,0,0,1
6752,0,0,0,0,0,0,0,0,0,0,1
6753,0,0,0,0,0,0,0,0,0,0,1
114609,0,0,0,0,0,0,0,0,0,1,0
1154,0,1,0,0,0,0,0,0,0,0,0
1378,0,0,0,0,0,0,0,0,1,0,0
2213,0,0,0,0,0,0,0,0,0,0,1
2532,0,0,0,0,0,1,0,0,0,0,0
256892,0,0,0,0,0,0,0,0,0,0,0
259197,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,1
2993,0,0,0,0,0,0,0,0,0,0,0
2995,0,0,0,0,0,0,0,0,0,0,0
3383,0,0,0,0,0,0,0,0,0,0,1
4055,0,0,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0,0
948,0,0,0,0,0,0,0,0,0,0,1
1674,0,0,0,0,0,0,0,0,0,0,1
27232,0,0,0,0,0,0,0,0,0,0,1
29108,0,0,0,0,0,0,0,0,0,0,1
4552,0,0,0,0,0,0,0,0,0,0,1
4868,0,0,0,0,0,0,1,0,0,0,0
834,0,0,0,0,0,0,0,0,0,0,1
875,0,0,0,0,0,0,0,0,0,0,1
10189,0,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,1,0,0,0,0
10204,0,0,0,0,0,0,0,0,0,0,0
1026,0,0,0,0,0,0,0,0,0,0,1
10280,0,0,0,0,0,0,0,0,1,0,0
10436,0,0,0,0,0,0,0,0,0,0,0
10527,0,0,0,0,0,0,1,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,1,0
10594,0,0,0,0,0,0,0,0,1,0,0
10808,0,0,0,0,0,0,0,0,0,0,0
10946,0,0,0,0,0,0,0,0,0,0,0
10980,0,0,0,0,0,0,0,0,0,0,0
10981,0,0,0,0,0,0,0,0,0,0,1
1192,0,0,0,0,0,0,0,0,0,1,0
1232,0,0,0,0,0,0,0,0,0,0,1
1524,0,0,0,0,0,0,0,1,0,0,0
1647,0,0,0,0,0,0,0,0,0,1,0
1973,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,1,0
2208,0,0,0,0,0,0,0,0,0,0,0
22948,0,0,0,0,0,0,0,0,0,0,1
