,diseased
83729,1
8431,1
101927366,1
1374,1
153,1
1536,1
2335,1
23671,1
346171,1
3630,1
3667,1
3799,1
3953,1
4217,1
4508,1
547,1
5879,1
7058,1
8639,1
8856,1
9970,1
10059,1
10084,1
10293,1
10617,1
10733,1
11284,1
1778,1
2074,1
2290,1
26128,1
283989,1
284403,1
3796,1
3800,1
407975,1
4998,1
6513,1
6925,1
701,1
7283,1
79042,1
80254,1
80746,1
84879,1
8573,1
10763,1
10855,1
1649,1
3689,1
7431,1
22808,1
2950,1
5420,1
9332,1
114327,1
1181,1
2562,1
2566,1
50966,1
51305,1
773,1
8629,1
8912,1
9254,1
2911,1
2912,1
2913,1
2914,1
3749,1
3791,1
4514,1
4887,1
5025,1
57468,1
623,1
6505,1
6558,1
7010,1
7442,1
9353,1
27030,1
2956,1
4072,1
4292,1
4436,1
5378,1
5395,1
6224,1
657,1
7048,1
9209,1
1053,1
1668,1
207,1
2322,1
2735,1
2736,1
3605,1
366,1
3683,1
3684,1
3687,1
406948,1
4869,1
4926,1
5371,1
5573,1
5909,1
5914,1
64859,1
6777,1
7056,1
7704,1
79718,1
81608,1
960,1
126133,1
22900,1
254263,1
2646,1
4296,1
56606,1
929,1
10401,1
1499,1
2261,1
3116,1
3280,1
4853,1
5457,1
7015,1
7472,1
7474,1
151507,1
216,1
22926,1
3119,1
319101,1
3822,1
5621,1
692157,1
7280,1
780851,1
79644,1
79974,1
8360,1
9108,1
10939,1
140451,1
146057,1
2296,1
23152,1
25894,1
2672,1
342371,1
5521,1
5582,1
6310,1
6311,1
6314,1
6712,1
84991,1
100188775,1
3552,1
4519,1
4535,1
4536,1
4537,1
4538,1
4539,1
4540,1
4541,1
4556,1
6121,1
9227,1
1281,1
1571,1
4088,1
53345,1
7076,1
79143,1
80339,1
1230,1
1241,1
1544,1
1728,1
174,1
2027,1
210,1
23576,1
23600,1
241,1
249,1
2570,1
2678,1
27040,1
27306,1
2869,1
2875,1
3101,1
3303,1
3556,1
3581,1
3589,1
3694,1
3728,1
4318,1
4864,1
540,1
54210,1
56624,1
6039,1
6309,1
6341,1
6430,1
6489,1
6783,1
7051,1
7078,1
7104,1
729230,1
7295,1
7305,1
83716,1
8829,1
885,1
9021,1
915,1
942,1
9420,1
94235,1
974,1
9971,1
1535,1
1555,1
1557,1
1839,1
19,1
2194,1
3156,1
38,1
4481,1
4627,1
50507,1
5076,1
51085,1
51094,1
5465,1
56729,1
5742,1
6720,1
6721,1
9619,1
123263,1
1355,1
137682,1
1738,1
1892,1
374291,1
4566,1
4567,1
4577,1
4578,1
4695,1
4720,1
4722,1
4723,1
4724,1
4728,1
51204,1
5428,1
55572,1
55699,1
617,1
6389,1
6834,1
79133,1
79731,1
91942,1
9997,1
100131327,1
100188846,1
100188870,1
100188871,1
100188872,1
100188873,1
100188874,1
100188875,1
10019,1
100301522,1
101927156,1
101927840,1
101928376,1
10301,1
1233,1
150223,1
150962,1
154215,1
2113,1
23150,1
23308,1
284099,1
31,1
317782,1
338332,1
3600,1
387357,1
4026,1
4650,1
4660,1
4774,1
57514,1
59067,1
60468,1
7473,1
8809,1
919,1
941,1
100287616,1
1030,1
10587,1
120526,1
1301,1
144100,1
196294,1
23424,1
26610,1
2762,1
344148,1
4016,1
4638,1
51071,1
5373,1
55133,1
60312,1
7042,1
8671,1
1158,1
134,1
140,1
5020,1
54205,1
551,1
5601,1
6275,1
7498,1
871,1
1592,1
2328,1
26585,1
4163,1
4595,1
4913,1
10618,1
163223,1
163882,1
1733,1
3398,1
3399,1
3693,1
51454,1
687,1
6926,1
101927284,1
1312,1
150,1
387572,1
5317,1
54549,1
57101,1
57658,1
619493,1
677663,1
887,1
2796,1
2798,1
5925,1
7253,1
1139,1
1141,1
3757,1
3784,1
6330,1
859,1
100306937,1
100306938,1
100306939,1
10413,1
11200,1
1621,1
23095,1
26038,1
3082,1
3456,1
389421,1
4004,1
401237,1
4233,1
4513,1
4609,1
4826,1
4830,1
4893,1
4914,1
4915,1
51144,1
57492,1
57531,1
5781,1
5784,1
580,1
590,1
65018,1
6790,1
7054,1
729177,1
7869,1
81704,1
83593,1
84181,1
8743,1
8929,1
10683,1
1280,1
1297,1
2316,1
2321,1
2720,1
3339,1
50964,1
59341,1
6399,1
9719,1
2176,1
2177,1
2178,1
2187,1
2188,1
29089,1
4599,1
55120,1
55215,1
57697,1
5889,1
675,1
79728,1
83990,1
84464,1
1822,1
26278,1
3746,1
378884,1
4758,1
5274,1
54982,1
57465,1
7248,1
7957,1
11035,1
1278,1
2209,1
3357,1
3717,1
4046,1
5777,1
632,1
6693,1
729,1
80781,1
836,1
9450,1
10549,1
2444,1
407040,1
5562,1
5919,1
79661,1
10667,1
26235,1
4568,1
4573,1
4729,1
54968,1
56947,1
91574,1
2554,1
2560,1
2752,1
4128,1
4129,1
4842,1
706,1
100128088,1
100131395,1
100133941,1
100271694,1
100271695,1
100271696,1
100506047,1
10055,1
100616384,1
101927027,1
101927314,1
101928464,1
101928791,1
10198,1
10461,1
10538,1
10636,1
10892,1
116986,1
140685,1
148867,1
1591,1
1594,1
160365,1
163059,1
2315,1
23274,1
27120,1
284677,1
285362,1
285830,1
3122,1
3128,1
3134,1
3574,1
3575,1
3592,1
3766,1
4126,1
4162,1
4234,1
4249,1
4397,1
440836,1
5010,1
51300,1
5133,1
54806,1
55765,1
57727,1
5817,1
58513,1
6041,1
6198,1
6401,1
64084,1
642636,1
643,1
6565,1
677,1
7132,1
7410,1
7813,1
79925,1
79970,1
84769,1
8575,1
868,1
923,1
9639,1
965,1
100188798,1
100188803,1
100188804,1
100190928,1
100196918,1
100322878,1
100379200,1
100532732,1
100874048,1
10320,1
11277,1
1191,1
121260,1
1389,1
1445,1
170682,1
1773,1
1997,1
219285,1
2214,1
221527,1
23294,1
25780,1
283742,1
2842,1
286016,1
3092,1
3120,1
3918,1
404714,1
4299,1
4439,1
474354,1
50615,1
54887,1
55024,1
57661,1
629,1
64695,1
64805,1
7100,1
712,1
7148,1
717,1
720,1
7292,1
7332,1
79932,1
10476,1
10961,1
1136,1
1553,1
2186,1
226,1
2791,1
2810,1
301,1
3028,1
308,1
3148,1
3726,1
4000,1
4437,1
4921,1
4968,1
5604,1
6098,1
6794,1
7508,1
822,1
8626,1
8890,1
8893,1
1742,1
26608,1
2969,1
3984,1
5982,1
7461,1
81554,1
9031,1
9569,1
229,1
2919,1
3567,1
3578,1
3952,1
50616,1
716,1
10,1
10013,1
100188789,1
10040,1
10158,1
101669767,1
10263,1
10333,1
10397,1
10417,1
10439,1
10451,1
10481,1
10499,1
10516,1
10551,1
10625,1
10809,1
10857,1
10928,1
10945,1
10948,1
10951,1
10955,1
11005,1
11009,1
11176,1
11178,1
11187,1
116113,1
1200,1
1266,1
1316,1
1317,1
1365,1
1366,1
136991,1
1410,1
143686,1
1465,1
1469,1
1474,1
1488,1
150084,1
1508,1
153090,1
154,1
1543,1
1545,1
1562,1
1577,1
1586,1
1588,1
1605,1
1672,1
1775,1
1786,1
1789,1
1902,1
1950,1
2012,1
2014,1
2052,1
2065,1
2068,1
2078,1
2100,1
2115,1
2118,1
2146,1
2182,1
2192,1
222546,1
2255,1
22853,1
23071,1
23197,1
23204,1
23301,1
23382,1
2346,1
23635,1
23753,1
246778,1
25792,1
25818,1
2591,1
25932,1
26227,1
26298,1
26499,1
2650,1
2690,1
27134,1
27173,1
27242,1
27294,1
2787,1
2803,1
283237,1
2878,1
2886,1
28999,1
29,1
2908,1
29087,1
2923,1
2925,1
2932,1
2938,1
2947,1
2952,1
29893,1
30008,1
3047,1
3048,1
307,1
3091,1
316,1
3169,1
3171,1
3187,1
3232,1
3248,1
328,1
3283,1
3284,1
3292,1
3293,1
347747,1
3489,1
3490,1
354,1
3603,1
3708,1
373156,1
3732,1
3817,1
384,1
389058,1
3913,1
3915,1
3925,1
3945,1
3977,1
406991,1
4074,1
408259,1
408260,1
4158,1
43,1
4311,1
4322,1
4477,1
4502,1
4507,1
4585,1
4601,1
4610,1
4669,1
467,1
4683,1
4780,1
4782,1
4804,1
4824,1
4883,1
4925,1
5034,1
5074,1
5100,1
51084,1
51132,1
51135,1
51181,1
51227,1
51341,1
5160,1
51651,1
51655,1
5172,1
5179,1
5224,1
5273,1
5293,1
5329,1
53916,1
5396,1
54361,1
54363,1
54431,1
54535,1
54790,1
55210,1
55256,1
5530,1
55312,1
55577,1
55819,1
55827,1
55829,1
55840,1
5590,1
5610,1
5611,1
563,1
5652,1
56616,1
567,1
56849,1
56924,1
57185,1
572,1
5796,1
5859,1
5887,1
59084,1
59344,1
6019,1
6038,1
60526,1
60528,1
606293,1
6134,1
6136,1
6185,1
619402,1
6223,1
6237,1
6256,1
6293,1
6296,1
6376,1
6414,1
64240,1
64374,1
6462,1
64816,1
6541,1
655,1
658,1
664,1
6695,1
6715,1
6746,1
6757,1
6768,1
678,1
6817,1
6820,1
6822,1
6836,1
6885,1
6916,1
6928,1
6948,1
6950,1
7001,1
7012,1
7079,1
7099,1
7110,1
7111,1
7113,1
7114,1
7162,1
7163,1
7164,1
7178,1
7184,1
7263,1
7352,1
7366,1
7367,1
7371,1
7372,1
7430,1
7432,1
7546,1
7763,1
780,1
7834,1
79574,1
79689,1
79784,1
79807,1
7984,1
7991,1
8000,1
8086,1
811,1
8202,1
826,1
83259,1
8339,1
83606,1
8365,1
8379,1
8405,1
8409,1
842,1
84519,1
84818,1
8495,1
8537,1
8560,1
857,1
8615,1
8644,1
8648,1
8661,1
8667,1
8702,1
8720,1
873,1
8754,1
8804,1
8854,1
8895,1
8932,1
894,1
9,1
90338,1
9080,1
9189,1
9203,1
92105,1
93611,1
9380,1
9446,1
9538,1
9566,1
9687,1
9709,1
9817,1
9968,1
9985,1
10046,1
11336,1
132,1
139189,1
1768,1
23498,1
285740,1
285943,1
29080,1
3200,1
3201,1
60678,1
6764,1
8887,1
1010,1
170679,1
170680,1
1838,1
23492,1
3981,1
4170,1
54986,1
6678,1
694,1
84458,1
8701,1
9862,1
100313923,1
10062,1
1051,1
123,1
2149,1
26291,1
284111,1
3032,1
3087,1
338,1
3949,1
406924,1
406931,1
406942,1
406946,1
406952,1
406959,1
406974,1
4143,1
442892,1
4547,1
494333,1
51547,1
5467,1
574434,1
574506,1
5757,1
6514,1
664617,1
7494,1
3587,1
387582,1
10309,1
115948,1
123872,1
161582,1
1767,1
221421,1
23639,1
25981,1
27019,1
345643,1
345895,1
352909,1
388389,1
51364,1
54768,1
55036,1
55130,1
55172,1
56683,1
64446,1
6674,1
83544,1
83861,1
85478,1
89765,1
92749,1
93233,1
101929054,1
102724068,1
108,1
10814,1
10815,1
1109,1
11320,1
132160,1
1463,1
149465,1
157,1
160851,1
167681,1
1812,1
1816,1
22854,1
23383,1
245,1
26011,1
27074,1
285375,1
287015,1
288,1
2931,1
3356,1
341880,1
3697,1
3702,1
51196,1
5142,1
55304,1
5649,1
5816,1
6258,1
627,1
6285,1
6526,1
6616,1
6671,1
6869,1
6934,1
7091,1
7222,1
7226,1
7252,1
784,1
79703,1
79772,1
81562,1
84628,1
84952,1
8650,1
8722,1
994,1
100,1
100187724,1
100188314,1
100188317,1
100188816,1
100188820,1
100188832,1
1007,1
1008,1
101928890,1
10771,1
11141,1
11281,1
1137,1
116442,1
116987,1
117583,1
121278,1
139411,1
151556,1
152330,1
152789,1
158,1
1600,1
1610,1
170572,1
1717,1
1745,1
1746,1
18,1
1814,1
192683,1
1959,1
200150,1
2020,1
205428,1
2131,1
220,1
221035,1
22871,1
22941,1
22999,1
23078,1
23178,1
2332,1
23394,1
23705,1
2550,1
2555,1
2556,1
2557,1
2558,1
2571,1
26047,1
26056,1
26470,1
26960,1
270,1
27044,1
27185,1
27347,1
2739,1
282553,1
285195,1
2890,1
2903,1
29091,1
2918,1
3002,1
3069,1
3198,1
3346,1
3351,1
3352,1
3359,1
3361,1
36,1
361,1
3628,1
387577,1
3912,1
3927,1
40,1
406900,1
407010,1
4139,1
4208,1
438,1
4763,1
4862,1
4908,1
4909,1
5021,1
5067,1
5071,1
5080,1
50944,1
5141,1
51592,1
51725,1
51733,1
5175,1
5187,1
5294,1
5307,1
5321,1
53615,1
54221,1
54413,1
54538,1
54551,1
552,1
554314,1
5551,1
5579,1
5618,1
57194,1
57502,1
57575,1
57680,1
6091,1
6095,1
6332,1
6343,1
64221,1
64326,1
643586,1
6507,1
6535,1
6573,1
6779,1
6804,1
686,1
6999,1
7133,1
721,1
7249,1
7328,1
7337,1
7436,1
7812,1
8128,1
8216,1
8242,1
83943,1
8456,1
85358,1
8828,1
8831,1
8930,1
9013,1
9025,1
9037,1
9228,1
9378,1
94313,1
9568,1
9732,1
9820,1
100216484,1
100302514,1
100918,1
1120,1
1375,1
1512,1
22891,1
3060,1
3062,1
386593,1
4340,1
494446,1
5032,1
56342,1
692229,1
692312,1
6955,1
6957,1
7200,1
8835,1
10266,1
1028,1
1152,1
143187,1
1938,1
2202,1
2254,1
25,1
2520,1
2543,1
3206,1
3312,1
3439,1
3856,1
4297,1
4323,1
4354,1
4583,1
51292,1
51738,1
5223,1
5245,1
54474,1
5587,1
56287,1
5731,1
59340,1
634,1
6599,1
6776,1
6847,1
7170,1
7306,1
759,1
760,1
79633,1
8991,1
1840,1
185,1
23462,1
3304,1
3714,1
4854,1
4855,1
2353,1
5337,1
56848,1
7130,1
718,1
10052,1
100528007,1
1071,1
10911,1
111,1
11255,1
114818,1
118,1
1187,1
119032,1
1215,1
128611,1
1395,1
143872,1
186,1
1889,1
1908,1
2160,1
2161,1
221357,1
2242,1
23327,1
246,1
26,1
2641,1
2643,1
2701,1
2702,1
27020,1
2740,1
2784,1
2811,1
283450,1
2863,1
2953,1
348932,1
3758,1
3779,1
3816,1
389036,1
3972,1
4057,1
4190,1
4343,1
4363,1
475,1
476,1
477,1
486,1
4879,1
4881,1
490,1
492,1
4973,1
51083,1
5340,1
5473,1
54897,1
5624,1
56996,1
57623,1
59272,1
5997,1
63036,1
6338,1
6340,1
6403,1
64116,1
65125,1
65266,1
6530,1
6559,1
6649,1
6786,1
7168,1
7224,1
7349,1
7369,1
7450,1
7518,1
829,1
84876,1
8490,1
8870,1
9351,1
9445,1
9943,1
171023,1
1788,1
22800,1
23092,1
26040,1
2624,1
3718,1
5880,1
8233,1
867,1
100499166,1
1016,1
101928661,1
124460,1
1327,1
135138,1
144811,1
283234,1
400757,1
50514,1
55509,1
7096,1
79747,1
81861,1
8767,1
8778,1
9173,1
9966,1
100233226,1
10891,1
1385,1
1390,1
1952,1
2162,1
221458,1
2730,1
3309,1
375056,1
3939,1
3957,1
4306,1
440823,1
4625,1
5069,1
51330,1
5139,1
5350,1
55759,1
6402,1
6597,1
7077,1
7137,1
7804,1
8204,1
8315,1
8525,1
8678,1
148738,1
4891,1
650,1
6718,1
7036,1
1209,1
1269,1
1890,1
2030,1
2258,1
23022,1
2494,1
27086,1
3442,1
3651,1
4061,1
5349,1
54465,1
6690,1
6750,1
688,1
7423,1
7873,1
84133,1
8795,1
8837,1
9564,1
6698,1
10736,1
11136,1
147,1
1471,1
1489,1
150280,1
1558,1
2243,1
23322,1
2628,1
26762,1
27283,1
284086,1
3075,1
3207,1
406967,1
4867,1
50484,1
5125,1
54805,1
54974,1
55244,1
55764,1
5696,1
5950,1
6582,1
7020,1
7033,1
793,1
8437,1
84560,1
84662,1
90865,1
9104,1
9365,1
9899,1
100128334,1
10144,1
1314,1
151827,1
1832,1
23250,1
3712,1
4137,1
64798,1
79991,1
91039,1
100307118,1
100307119,1
100307120,1
100307121,1
100307122,1
100307123,1
26166,1
353238,1
378805,1
3872,1
4157,1
434,1
5921,1
7053,1
7299,1
7507,1
8643,1
10460,1
346288,1
5447,1
6867,1
3480,1
6240,1
100128977,1
255520,1
5073,1
51750,1
54472,1
653509,1
727897,1
729238,1
57724,1
713,1
727,1
731,1
732,1
735,1
7535,1
8547,1
1794,1
23111,1
23373,1
4745,1
56033,1
10002,1
10210,1
123016,1
1258,1
1259,1
130557,1
138050,1
1406,1
145226,1
23020,1
23418,1
23568,1
23746,1
24,1
24148,1
25794,1
26121,1
26160,1
2979,1
3000,1
3420,1
346007,1
3614,1
375298,1
388939,1
4117,1
4647,1
4751,1
4901,1
50939,1
5145,1
5148,1
5158,1
55812,1
55857,1
55975,1
57096,1
57709,1
583,1
5949,1
5961,1
5995,1
6010,1
6017,1
6094,1
6100,1
6101,1
6102,1
6103,1
6114,1
6116,1
6295,1
64218,1
7274,1
7275,1
7287,1
7399,1
7401,1
7439,1
762,1
768206,1
79797,1
79947,1
80025,1
84100,1
84140,1
8481,1
8842,1
9094,1
9129,1
92211,1
94137,1
9742,1
1072,1
113278,1
116,1
120114,1
125,1
1381,1
1476,1
2196,1
2280,1
25800,1
25816,1
2665,1
3146,1
340061,1
378938,1
3860,1
3861,1
3880,1
406999,1
4085,1
482,1
494335,1
5052,1
51741,1
5216,1
6317,1
645,1
6657,1
7169,1
8085,1
8342,1
84817,1
84962,1
1000,1
10462,1
1052,1
10611,1
1075,1
10959,1
10965,1
1153,1
117579,1
1326,1
1329,1
1398,1
1432,1
1634,1
166,1
1737,1
1843,1
201475,1
2029,1
203,1
2150,1
2171,1
22919,1
23491,1
2634,1
2710,1
2768,1
28984,1
2946,1
2992,1
3030,1
3097,1
3098,1
3099,1
3158,1
3164,1
3306,1
334,1
3397,1
3459,1
389,1
406,1
4223,1
4329,1
4478,1
4691,1
4734,1
5037,1
5166,1
5209,1
5213,1
5236,1
5320,1
5471,1
54738,1
5495,1
5515,1
5534,1
5693,1
5786,1
5868,1
60,1
60674,1
6139,1
6252,1
6262,1
6533,1
6546,1
6890,1
