id,role_0,role_1
1741,86,0
8914,30,0
5111,388,0
64960,168,0
51253,115,0
4088,415,0
4774,45,0
5048,72,0
10939,55,0
54477,83,0
27346,16,0
55379,149,0
10933,130,0
3837,338,0
10905,11,0
11253,8,0
51747,179,0
6628,315,0
50628,271,0
9820,647,0
871,91,0
229841,83,0
116447,12,0
8290,252,0
5335,279,0
5921,95,0
85302,235,0
84254,31,0
5562,179,0
125988,17,0
346157,14,0
55729,91,0
7532,540,0
9516,43,0
23327,190,0
9618,150,0
10392,30,0
4174,302,0
1290,9,0
780,26,0
5450,62,0
353332,59,0
7529,396,0
3831,75,0
4168,24,0
6837,42,0
64753,135,0
79165,76,0
84437,10,0
2342,45,0
30012,85,0
79759,29,0
5208,36,0
51538,27,0
63875,100,0
92181,17,0
387867,10,0
9798,47,0
8906,21,0
26270,622,0
55573,44,0
6238,48,0
728113,7,0
145226,28,0
222642,17,0
4985,39,0
5578,393,0
1312,39,0
4129,49,0
6604,66,0
23542,92,0
6590,15,0
55697,121,0
80778,36,0
5894,207,0
598,110,0
4122,19,0
1107,188,0
5997,64,0
23354,36,0
5204,185,0
79722,13,0
57805,121,0
56946,35,0
5094,195,0
6203,368,0
23281,359,0
1650,176,0
3703,29,0
1019,203,0
862,103,0
171482,48,0
1659,211,0
51503,189,0
672,607,0
5630,48,0
192666,43,0
3336,137,0
5931,230,0
2316,359,0
23524,330,0
4361,128,0
2237,60,0
3885,268,0
2887,60,0
5626,367,0
27327,61,0
53981,80,0
6883,87,0
84823,61,0
283234,42,0
1630,43,0
36,47,0
549,27,0
7417,191,0
8662,140,0
126328,64,0
4700,62,0
27303,9,0
51335,16,0
9189,62,0
9533,261,0
24812,5,0
811,156,0
5159,109,0
4040,40,0
8260,70,0
1499,395,0
5494,55,0
3275,58,0
6256,154,0
10892,41,0
8792,18,0
5826,5,0
2547,283,0
54623,58,0
27005,81,0
57673,22,0
10138,52,0
4638,62,0
58506,19,0
9448,69,0
90850,32,0
55696,188,0
1514,43,0
51213,99,0
57187,221,0
3480,91,0
55816,24,0
3718,92,0
3932,254,0
54715,48,0
23201,66,0
4118,32,0
51338,9,0
6729,28,0
9919,157,0
8218,53,0
137492,14,0
23028,372,0
3417,57,0
387082,80,0
79867,211,0
147007,16,0
283989,24,0
440295,212,0
5708,248,0
6210,331,0
11339,120,0
114928,96,0
55700,28,0
10482,1151,0
79026,96,0
55689,31,0
8848,169,0
58477,146,0
23636,138,0
3836,131,0
5359,130,0
153090,35,0
1387,398,0
2623,109,0
51324,139,0
10215,8,0
30812,19,0
995,44,0
7534,660,0
8697,152,0
79001,96,0
5728,244,0
6191,358,0
7804,39,0
84514,11,0
7879,182,0
57403,16,0
22981,211,0
26058,68,0
11156,100,0
55735,46,0
22955,37,0
8467,213,0
6944,65,0
11077,277,0
9744,15,0
25978,55,0
115416,20,0
51510,49,0
7644,6,0
5250,311,0
6135,382,0
2055,30,0
57447,12,0
30811,8,0
1072,166,0
11030,238,0
167153,8,0
69259,87,0
9112,126,0
10661,22,0
6119,397,0
203068,361,0
6152,333,0
54932,17,0
284069,36,0
6464,277,0
4143,11,0
219771,18,0
1030,24,0
83987,545,0
23020,375,0
1212,80,0
2060,159,0
23041,16,0
5597,280,0
7272,69,0
3768,17,0
51678,40,0
55092,27,0
84078,84,0
3566,24,0
9655,10,0
2332,161,0
6136,285,0
67849,19,0
9212,178,0
6612,183,0
5539,2,0
5540,4,0
8803,50,0
11004,63,0
9146,355,0
90390,51,0
81847,40,0
7520,231,0
2621,8,0
558,28,0
6871,166,0
10025,73,0
10436,101,0
6194,353,0
4236,222,0
7536,263,0
8856,36,0
144165,19,0
311055,2,0
27044,91,0
10987,826,0
8607,277,0
3198,266,0
29964,9,0
25998,74,0
9188,228,0
55667,10,0
5706,135,0
5702,188,0
5695,95,0
4522,94,0
7298,75,0
56257,186,0
84132,33,0
60488,119,0
51222,47,0
8932,73,0
11329,53,0
2079,64,0
7517,143,0
7031,21,0
51035,126,0
8882,68,0
6599,201,0
513,41,0
509,194,0
51645,183,0
58517,193,0
23199,58,0
6233,302,0
29979,281,0
2288,86,0
10728,108,0
84661,84,0
10565,32,0
8343,27,0
8915,68,0
6161,166,0
2077,21,0
51097,28,0
4301,70,0
1080,322,0
2195,30,0
25843,96,0
4171,916,0
4086,184,0
4762,8,0
10531,12,0
6182,126,0
1639,252,0
29944,18,0
9531,491,0
23498,7,0
9738,70,0
54516,4,0
51409,19,0
11269,172,0
8349,207,0
2064,199,0
74155,1,0
84186,26,0
205564,10,0
5568,158,0
8621,54,0
2783,119,0
3150,39,0
10991,4,0
65005,116,0
51263,88,0
7319,86,0
1029,181,0
151636,33,0
84733,68,0
375791,566,0
51547,666,0
2120,36,0
76804,2,0
6423,10,0
10296,22,0
6714,523,0
51792,96,0
91010,9,0
54870,68,0
60682,18,0
1676,49,0
9958,153,0
54927,88,0
1734,14,0
118,79,0
3398,72,0
8924,222,0
146956,33,0
54822,25,0
22976,266,0
10111,119,0
1973,98,0
10775,23,0
11102,26,0
8342,121,0
51105,32,0
53615,142,0
4771,66,0
6895,114,0
99152,36,0
996,127,0
65125,215,0
399511,12,0
6492,4,0
51194,64,0
1810,38,0
26580,58,0
10066,25,0
6421,232,0
64840,6,0
81029,2,0
10919,158,0
23269,50,0
1778,194,0
10048,139,0
218,52,0
659,77,0
110648,1,0
1017,890,0
2801,455,0
23450,489,0
23517,252,0
8407,128,0
1938,290,0
5602,105,0
8528,2,0
56289,29,0
7168,140,0
55198,36,0
830,270,0
773,100,0
439,46,0
142,284,0
3884,76,0
3888,25,0
3306,102,0
23254,12,0
100529264,4,0
7428,464,0
5966,387,0
245973,31,0
387680,32,0
100287171,11,0
353139,46,0
353140,83,0
10419,358,0
291,68,0
9457,77,0
84955,31,0
167838,58,0
220082,107,0
3006,88,0
10971,462,0
59,95,0
4734,315,0
6189,395,0
55971,38,0
23096,5,0
6732,347,0
55584,67,0
207,376,0
67809,77,0
51669,26,0
3182,100,0
8626,141,0
9295,198,0
1857,190,0
1326,72,0
5608,37,0
16412,40,0
9185,33,0
23013,184,0
6601,188,0
3192,691,0
23196,41,0
1385,196,0
8091,28,0
1786,107,0
7157,999,0
2648,133,0
71710,29,0
10464,145,0
8487,180,0
253980,29,0
5425,43,0
3753,6,0
3757,29,0
3667,120,0
857,218,0
2734,31,0
6314,110,0
4147,19,0
25788,42,0
84832,45,0
11060,122,0
1605,51,0
29896,144,0
22794,39,0
10949,101,0
3021,37,0
5928,261,0
2786,25,0
2793,20,0
9984,210,0
55596,129,0
9113,104,0
10413,137,0
10252,88,0
115752,23,0
3479,21,0
3490,15,0
22832,140,0
55559,72,0
25930,40,0
128866,118,0
3815,73,0
9402,64,0
25920,60,0
201931,8,0
10133,97,0
5468,165,0
7205,248,0
253827,38,0
26354,250,0
4666,58,0
1937,171,0
5774,41,0
11116,144,0
158,66,0
932,31,0
9074,2,0
8740,27,0
90196,1,0
10813,106,0
29911,133,0
7185,304,0
285093,46,0
6430,220,0
79002,139,0
10526,96,0
868,79,0
10765,62,0
2957,71,0
140691,43,0
284086,41,0
5600,93,0
7407,88,0
6472,453,0
11190,242,0
25977,18,0
6168,241,0
25962,180,0
5984,96,0
1021,158,0
5127,46,0
9513,237,0
9908,67,0
5140,39,0
5567,217,0
3396,246,0
8089,106,0
157570,28,0
388336,15,0
9179,37,0
95,29,0
259215,2,0
145508,278,0
8573,89,0
4090,72,0
23451,444,0
9131,90,0
3303,351,0
3559,27,0
6776,104,0
8335,108,0
11034,103,0
26284,29,0
91137,7,0
768,31,0
11260,50,0
225207,2,0
9219,169,0
22853,13,0
10989,269,0
9733,241,0
11335,166,0
29127,135,0
93474,22,0
126961,117,0
5993,26,0
4137,133,0
4741,37,0
4539,54,0
9610,51,0
3783746,153,0
4736,252,0
9221,199,0
152185,157,0
84946,29,0
8874,50,0
9731,73,0
51633,32,0
10973,35,0
5429,44,0
63922,27,0
8767,90,0
115207,28,0
4629,49,0
10096,98,0
25060,5,0
5730,34,0
1490008,4,0
5058,159,0
7957,21,0
90550,19,0
10651,26,0
25813,36,0
5747,198,0
55171,9,0
386677,114,0
22924,50,0
90417,44,0
114336,41,0
284001,130,0
197342,4,0
57697,37,0
65991,21,0
7353,86,0
29882,64,0
4311,155,0
9149,66,0
221937,82,0
9654,4,0
4087,392,0
51382,46,0
2956,87,0
5710,200,0
2151,15,0
2534,408,0
4929,33,0
5915,35,0
5930,87,0
3356,22,0
2912,14,0
10289,171,0
6223,233,0
51160,68,0
613,95,0
7105,13,0
2671,19,0
10920,53,0
9851,132,0
1856,139,0
3676,527,0
11236,19,0
3638,20,0
2804,42,0
84105,42,0
147700,80,0
51334,6,0
2067,30,0
5893,56,0
5092,94,0
53353,15,0
1892,96,0
150472,13,0
9525,50,0
23107,222,0
6188,395,0
8464,41,0
93624,22,0
1400,108,0
8445,60,0
10539,114,0
55156,41,0
816,88,0
6124,326,0
28957,111,0
51649,183,0
51393,2,0
7442,12,0
23770,102,0
6745,99,0
50809,71,0
6651,78,0
137872,24,0
2776,87,0
4288,58,0
6280,88,0
6279,52,0
90060,95,0
93436,56,0
80831,7,0
8904,52,0
4609,581,0
23085,66,0
273,53,0
84859,33,0
6352,45,0
1230,30,0
10284,149,0
6428,147,0
25953,95,0
54793,89,0
51316,26,0
5356,208,0
55599,33,0
6635,173,0
6443,24,0
80833,7,0
5609,69,0
844,1,0
55093,307,0
653188,18,0
23592,34,0
3906,10,0
7266,96,0
23230,15,0
23368,98,0
26009,37,0
10514,253,0
821,208,0
10612,31,0
65264,51,0
4976,37,0
9585,22,0
54407,25,0
64377,32,0
10082,8,0
72,123,0
1444,3,0
23352,84,0
10486,21,0
5723,21,0
8233,63,0
56905,14,0
1488,147,0
8655,292,0
60416,1,0
10938,66,0
85359,25,0
149951,15,0
54951,22,0
404281,5,0
6804,176,0
83862,13,0
8241,191,0
8161,108,0
64837,72,0
348,68,0
56172,2,0
10521,288,0
7857,10,0
285753,81,0
51366,134,0
107995,37,0
2632,30,0
3741,33,0
3739,25,0
51371,36,0
353131,64,0
353141,50,0
8735,25,0
8569,68,0
7454,100,0
8936,54,0
8736,14,0
309,107,0
5727,102,0
79770,29,0
26002,17,0
51090,21,0
86,155,0
79718,69,0
23515,17,0
55635,7,0
10320,124,0
221120,48,0
255426,4,0
84307,35,0
55311,30,0
3216,18,0
6205,255,0
6165,234,0
433,93,0
26984,67,0
2256,5,0
79618,99,0
2859,5,0
2775,53,0
255374,11,0
17827,19,0
23640,59,0
1998,17,0
10915,197,0
51428,182,0
10016,119,0
356,106,0
2962,120,0
5437,96,0
29894,64,0
5096,19,0
14251,62,0
55209,14,0
23641,114,0
85285,26,0
353144,47,0
7531,424,0
1975,131,0
2688,87,0
5709,180,0
401036,23,0
2915,20,0
5579,200,0
10226,82,0
90678,65,0
92799,26,0
10489,27,0
9362,15,0
3735,147,0
4145,13,0
10947,18,0
282991,33,0
25809,18,0
54839,24,0
259173,7,0
498301,2,0
54505,26,0
57511,73,0
57169,29,0
5717,147,0
55791,159,0
6059,241,0
4000,256,0
26,54,0
10950,10,0
1111,92,0
11835,8,0
83608,11,0
409,364,0
9774,99,0
11277,20,0
6748,119,0
1780,55,0
54361,27,0
7024,130,0
5245,356,0
6187,422,0
10540,115,0
832,128,0
7791,97,0
10128,201,0
60,464,0
23363,617,0
158078,73,0
1896,65,0
27125,34,0
117144,104,0
83431,16,0
29015,14,0
9682,50,0
8350,307,0
2890,43,0
5580,232,0
51741,325,0
10285,173,0
81850,190,0
83899,138,0
23677,37,0
117178,246,0
998,303,0
10071,2,0
27185,207,0
7204,30,0
284695,188,0
57606,50,0
27230,29,0
100352737,2,0
9049,46,0
64581,37,0
55048,107,0
122183,92,0
9040,134,0
10286,234,0
3658,28,0
28988,51,0
10785,42,0
4793,109,0
7311,291,0
10241,200,0
55138,134,0
4722,106,0
7322,255,0
202559,89,0
401431,12,0
5618,23,0
3717,134,0
682,152,0
6936,22,0
1943,9,0
102,27,0
26993,97,0
448834,117,0
4232,21,0
9638,60,0
4599,44,0
401250,2,0
7337,176,0
6427,257,0
6801,74,0
10574,189,0
1915,611,0
26608,136,0
51082,58,0
64425,60,0
127703,65,0
27494,7,0
84451,8,0
373509,25,0
5825,70,0
8266,306,0
8864,26,0
2886,55,0
200845,31,0
10454,170,0
64101,40,0
3178,699,0
2969,147,0
6199,207,0
3105,102,0
51744,28,0
6227,143,0
6854,24,0
8802,35,0
8801,60,0
2275,180,0
343263,7,0
14,31,0
10076,10,0
7083,180,0
4953,22,0
3020,131,0
23523,27,0
4128,43,0
6817,55,0
55759,61,0
17130,3,0
10235,6,0
79607,35,0
377630,11,0
392197,4,0
9529,46,0
147872,108,0
4286,39,0
22950,26,0
3611,252,0
84246,84,0
5434,124,0
83932,90,0
2549,51,0
11036,25,0
9349,394,0
338785,37,0
644186,6,0
10642,256,0
5121,6,0
163688,2,0
23210,77,0
127428,6,0
203259,29,0
92935,7,0
286940,99,0
5339,105,0
55068,15,0
960,98,0
573,82,0
5467,52,0
8202,132,0
23394,49,0
79885,132,0
55216,42,0
57018,22,0
6154,306,0
6209,183,0
7020,98,0
5563,169,0
414236,49,0
1869,140,0
84456,66,0
84790,175,0
6510,55,0
648,397,0
11171,101,0
5685,117,0
81027,185,0
4728,89,0
7386,132,0
9020,152,0
28952,76,0
4212,49,0
56917,2,0
6491,79,0
5976,238,0
50850,41,0
1063,42,0
2208,10,0
3689,86,0
3654,153,0
3315,433,0
164,60,0
9322,65,0
51639,265,0
6230,174,0
134266,11,0
79133,14,0
25870,11,0
1191,121,0
2202,39,0
284058,46,0
11244,65,0
3710,46,0
56897,31,0
5424,91,0
3014,305,0
55775,13,0
3191,220,0
56950,36,0
10363,85,0
5074,50,0
6836,53,0
5586,76,0
11157,31,0
6626,252,0
84991,182,0
1213,353,0
9181,61,0
4998,72,0
55178,39,0
25959,188,0
118490,19,0
1665,406,0
12412,150,0
98488,5,0
2976,51,0
1270,18,0
55871,59,0
54778,67,0
7508,51,0
126119,14,0
6595,147,0
26986,502,0
10056,104,0
3326,541,0
3069,75,0
55737,77,0
7316,1645,0
171023,19,0
26260,193,0
1059,76,0
8940,45,0
81550,31,0
6840,134,0
63940,43,0
57167,4,0
658,120,0
9459,45,0
10159,107,0
23256,53,0
2176,50,0
8777,50,0
3500,86,0
2099,787,0
23598,88,0
10969,249,0
57019,47,0
10204,53,0
222389,80,0
70405,144,0
1211,83,0
16576,7,0
57835,61,0
7113,58,0
254263,2,0
1992,13,0
3704,60,0
18129,1,0
51162,33,0
6657,349,0
51691,66,0
6502,133,0
9817,132,0
64135,20,0
10483,52,0
896,60,0
7549,8,0
64968,91,0
9553,83,0
56616,52,0
332,42,0
353142,58,0
116940,20,0
338657,17,0
3476,132,0
10101,63,0
1647,92,0
983,413,0
81669,60,0
27161,140,0
63935,13,0
130617,21,0
9861,122,0
51321,11,0
6125,280,0
84707,83,0
79834,15,0
1917,165,0
84548,57,0
23545,22,0
10713,199,0
7726,61,0
3376,109,0
9559,98,0
170679,1,0
7936,36,0
4641,196,0
91624,40,0
54464,113,0
3094,75,0
387522,45,0
10480,106,0
3607,115,0
1108,151,0
6456,78,0
69957,46,0
4085,81,0
8243,146,0
8819,95,0
841,194,0
23774,43,0
5553,63,0
3949,31,0
93643,20,0
7019,31,0
4134,68,0
5336,124,0
54206,24,0
2638,16,0
8029,13,0
9145,8,0
9612,136,0
8220,186,0
10657,189,0
7409,91,0
10946,239,0
3608,451,0
5013,138,0
7306,9,0
342371,66,0
84632,10,0
1822,137,0
23145,6,0
382,143,0
1131,12,0
63967,35,0
9218,222,0
4720,90,0
408,312,0
285855,16,0
4438,13,0
7411,68,0
79744,4,0
56658,75,0
6198,81,0
8667,84,0
10569,187,0
55643,47,0
83858,141,0
10542,54,0
154,274,0
2645,29,0
51291,5,0
571,49,0
65008,119,0
84545,102,0
2002,61,0
2005,16,0
22822,42,0
5582,153,0
5587,61,0
10900,30,0
84897,10,0
23322,151,0
10049,58,0
10013,257,0
7874,311,0
55768,24,0
11124,110,0
3965,74,0
9497,20,0
114548,51,0
126206,9,0
1642,380,0
55626,93,0
9782,311,0
115426,53,0
5788,82,0
10146,131,0
10026,14,0
23367,91,0
1173,227,0
3849,63,0
833,42,0
3169,45,0
399687,181,0
57584,47,0
283229,18,0
377677,2,0
2023,361,0
3187,357,0
10438,19,0
7067,108,0
92399,53,0
9802,193,0
11161,78,0
3832,131,0
253714,16,0
4176,176,0
3993,67,0
10273,256,0
7718,42,0
116412,74,0
1951,22,0
5704,124,0
5689,181,0
3706,39,0
56256,13,0
6170,131,0
84142,20,0
54521,29,0
5897,7,0
3843,110,0
4089,300,0
4538,48,0
64431,44,0
9734,72,0
56013,1,0
254251,5,0
5970,417,0
8986,18,0
6853,64,0
2908,240,0
3175,8,0
159,44,0
