id,role_0,role_1,role_2,role_3,role_4
10300,16,1615,100,20,0
57520,291,21632,41748,447,0
58525,57,9452,1465,131,0
6884,39,4795,448,293,0
6874,67,10482,1755,456,0
55069,20,1488,189,1,0
5311,39,6319,722,19,0
5604,113,19280,5789,539,0
8837,63,11987,1721,232,0
7189,550,60810,145696,5279,0
23193,96,17094,4158,402,0
11007,148,11835,10586,292,0
51207,13,2504,72,6,0
4329,52,2374,952,374,0
84264,27,1799,301,50,0
550,64,10319,1882,134,0
55251,11,1793,49,6,0
3320,898,90626,386523,16230,0
91607,14,4723,77,14,0
56086,62,3733,1858,33,0
27107,16,4741,110,10,0
4653,44,6088,882,64,0
3543,7,499,19,2,0
55914,97,14699,4404,252,0
4163,306,34639,45157,1508,0
5558,36,9467,407,223,0
7150,277,53293,28347,9879,0
29843,43,11145,767,136,0
147923,15,3581,89,16,0
3339,48,7932,1071,57,0
351,2130,99469,2255358,12027,0
9688,121,25626,6119,1141,0
55273,6,1419,15,0,0
6477,177,18345,15170,406,0
5932,61,9471,1660,170,0
23197,190,25101,17137,818,0
79751,32,7178,474,22,0
58,198,27626,18449,1054,0
84962,40,8295,720,60,0
7453,64,10910,1843,173,0
56474,28,6215,336,42,0
11140,309,43430,45578,2008,0
57684,32,3984,442,54,0
10801,60,14018,1588,182,0
9217,137,14201,8969,347,0
283933,3,1009,0,3,0
337967,186,10323,16197,1008,0
5910,67,10622,2035,176,0
57826,10,3205,39,6,0
27292,145,32083,4143,6297,0
6132,348,50947,40254,20124,0
4914,1963,128448,1885064,40639,0
4292,198,21140,18799,704,0
5310,39,6496,651,90,0
87,162,26770,12179,862,0
3172,104,14719,4802,554,0
96764,33,5310,496,32,0
4869,744,87668,247265,29131,0
11316,57,14155,1410,186,0
10420,5,1660,9,1,0
56045,10,2061,38,7,0
26097,46,14313,871,164,0
347733,95,20298,3986,479,0
23398,166,20182,3132,10563,0
2483,89,17063,759,3157,0
10313,37,4044,638,28,0
6252,12,798,55,11,0
23476,76,11671,2643,207,0
1024,135,16185,7460,1585,0
5198,75,13689,2504,271,0
823,110,16247,5687,308,0
1408,180,35074,14807,1303,0
3312,598,84115,163440,15063,0
55844,57,6839,1409,187,0
6829,146,27190,9606,979,0
20174,51,3832,1012,263,0
10467,45,6688,764,226,0
4004,96,11259,4309,251,0
127933,13,3052,73,5,0
55366,199,23463,19021,680,0
23310,49,9273,1106,70,0
23138,31,5119,452,13,0
23623,82,11828,3157,164,0
5110,113,25244,5912,416,0
7077,26,2547,314,11,0
11052,218,33292,13722,9931,0
57819,210,24224,11143,10802,0
8353,240,36761,25917,2763,0
6231,151,31099,5962,5363,0
10528,256,38922,25364,7276,0
23521,273,41115,20084,17044,0
132625,11,3047,42,13,0
6045,754,78568,270137,13744,0
4841,191,43083,16136,2009,0
79659,22,1633,230,1,0
23385,132,21751,7947,699,0
84898,13,697,77,1,0
867,274,35451,34748,2653,0
4690,267,17298,34258,1253,0
9924,343,51397,52172,6481,0
6147,307,47087,28566,18405,0
4343,1178,84216,669491,23762,0
120892,152,22857,10686,790,0
43736,1,151,0,0,0
9129,279,42085,25550,13231,0
149041,18,2028,137,16,0
7327,56,7913,1473,67,0
1026,310,49479,45128,2767,0
1,12,1925,65,1,0
79850,3,129,3,0,0
6520,60,14559,1593,177,0
84129,53,4964,1035,343,0
7284,243,46922,20688,8715,0
139341,15,1570,99,6,0
9318,123,17948,6755,748,0
3646,169,33753,10387,3809,0
6259,78,13787,2897,106,0
5591,310,59919,43264,4631,0
230967,6,530,10,5,0
4750,25,3385,290,10,0
66877,25,4256,169,131,0
58509,167,20051,3351,10510,0
200879,49,2048,1174,2,0
51148,41,4730,740,80,0
79172,66,8861,1408,737,0
64105,54,6460,723,708,0
4188,437,21753,94542,724,0
7866,19,7659,150,21,0
29114,35,3302,450,145,0
25932,53,10021,1240,138,0
1717,114,23034,3260,3181,0
293,207,40033,16236,5085,0
57596,59,8529,1633,78,0
126868,21,2241,198,12,0
6144,300,44548,26116,18734,0
6122,257,46030,19093,13803,0
6137,358,54260,43407,20496,0
81876,80,12315,2808,352,0
1432,327,38249,50993,2308,0
2004,19,5952,135,36,0
51073,159,12491,8979,3582,0
51650,90,5432,840,3165,0
25824,80,9170,2973,187,0
57532,81,14737,2779,461,0
7014,265,30096,33695,1285,0
203245,7,746,17,4,0
8503,137,13243,8922,394,0
54906,56,8231,1413,127,0
6118,471,65285,103491,7194,0
5981,94,17481,3579,792,0
5042,126,27938,2135,5740,0
255967,10,4399,29,16,0
1739,94,11072,4104,267,0
9229,33,5566,402,126,0
84140,137,16751,8697,619,0
164127,45,6889,946,44,0
5564,181,22738,15755,535,0
286480,61,6551,1787,43,0
10664,53,12453,1216,162,0
3146,114,20139,5995,446,0
56254,81,14378,3038,202,0
51322,39,8232,694,47,0
7514,1254,92676,772320,13311,0
4733,49,15737,1083,93,0
51729,173,25027,6023,8855,0
79228,158,20811,3578,8825,0
79768,38,6815,680,23,0
10573,111,12952,2734,3371,0
6183,93,4212,1337,2941,0
8428,82,12512,2877,444,0
11011,27,7710,323,28,0
1738,111,13024,5680,425,0
2109,25,8246,273,27,0
11051,268,40127,25498,10280,0
3066,385,48304,68456,5464,0
7153,164,38438,11220,2146,0
22608,56,10968,1191,349,0
1660,527,67576,107171,31430,0
388697,87,24451,1520,2221,0
81910,218,24616,19502,4151,0
53339,25,5150,234,66,0
28964,78,13234,2782,221,0
156,101,17180,4688,362,0
8227,23,3869,247,6,0
80321,268,20256,35220,558,0
23168,40,9365,654,126,0
5330,56,3136,1066,474,0
23336,18,3509,144,9,0
1837,38,3065,645,58,0
5571,57,7103,1485,111,0
347688,50,5279,1200,25,0
6676,24,780,275,1,0
503497,21,995,205,5,0
6390,90,11454,3602,403,0
5018,64,11066,1145,871,0
8237,133,21416,8344,434,0
801,522,50663,133300,2681,0
94180,1,521,0,0,0
5733,115,10377,6445,110,0
80125,155,19268,11134,801,0
6160,277,45472,22270,15956,0
6207,350,54737,39687,21388,0
9261,68,18320,1943,335,0
51465,44,8056,875,71,0
10492,459,65017,86828,18283,0
339344,36,6646,544,86,0
79980,51,9487,1089,186,0
6098,9,3291,21,15,0
5781,173,19932,13711,1167,0
4223,687,36527,233526,2115,0
8675,18,2125,102,51,0
23790,146,12671,9689,896,0
154810,36,6409,522,108,0
6310,301,22180,44467,683,0
440,82,13244,2967,354,0
5184,40,5829,648,132,0
6195,113,16734,5820,508,0
10073,30,4709,413,22,0
8022,79,6060,3007,74,0
83543,7,2885,21,0,0
27153,13,2978,72,6,0
171483,132,9185,8566,80,0
51019,62,6849,1734,157,0
200081,139,23357,8867,724,0
6143,264,43180,17803,16913,0
8886,189,41201,9406,8360,0
9099,169,25675,13575,621,0
83878,230,15577,25182,1153,0
155945,63,7645,1871,82,0
7037,107,22154,5395,276,0
8945,351,45143,58886,2539,0
2175,85,14612,3196,374,0
26121,281,39581,29130,10210,0
7379,14,614,87,4,0
8600,41,5277,793,27,0
6813,29,3337,348,58,0
6844,88,9306,3502,326,0
663,34,5054,538,23,0
10613,53,9590,1279,99,0
4627,341,48345,53513,4457,0
5756,56,10825,1311,229,0
5216,81,21543,2882,358,0
54557,182,7793,16325,146,0
55027,32,5576,487,9,0
80279,48,9235,1048,80,0
23376,26,6701,311,14,0
661,36,4309,499,131,0
246184,35,1849,312,283,0
51434,75,11485,2215,560,0
1208,3,30,0,3,0
5406,12,1878,38,28,0
4691,436,69892,73512,21318,0
7307,348,44932,40313,20065,0
128553,20,3574,178,12,0
84248,59,10076,1585,126,0
579,14,2265,39,52,0
7091,32,4330,412,84,0
4694,60,2946,425,1345,0
4710,79,4642,1564,1517,0
2296,47,7988,971,110,0
57459,95,16134,3776,689,0
57418,144,30467,4196,6100,0
55294,180,22950,15151,959,0
29079,368,31061,64775,2753,0
975,217,34751,20648,2788,0
6155,231,36987,13926,12639,0
4141,84,22002,2908,578,0
7030,52,10021,1250,76,0
7917,300,30385,43839,1011,0
84292,195,25984,15102,3813,0
64949,117,12844,3250,3536,0
55720,118,23209,5621,1282,0
2118,21,5721,187,23,0
4811,26,3878,288,37,0
60490,20,2195,186,4,0
705,178,28022,14904,849,0
8548,107,12699,5344,327,0
79843,62,10014,1752,139,0
5350,35,2871,573,22,0
203562,132,3669,8594,52,0
5469,122,18909,5905,1476,0
10014,368,59070,62018,5510,0
99100,81,5932,3188,52,0
9886,7,3810,10,11,0
68734,17,1655,121,15,0
988,326,41593,39274,13701,0
138046,45,5794,883,107,0
1993,22,5447,201,30,0
3881,375,27090,68821,1304,0
5694,93,16010,2649,1629,0
10055,66,14181,1949,196,0
7533,341,47866,52812,5158,0
5062,152,27852,10710,766,0
79902,58,10504,1339,314,0
9972,121,20144,6245,1015,0
9948,99,18119,4317,534,0
8761,142,38471,8474,1537,0
1875,17,5028,80,56,0
10672,57,9139,1517,79,0
7046,319,20312,49699,1022,0
56455,67,4797,2060,151,0
140710,35,6555,551,44,0
132141,16,905,117,3,0
2052,29,4072,401,5,0
1457,613,75457,180406,7172,0
10772,149,33203,6634,4392,0
81833,60,1856,1758,12,0
5337,52,7815,1241,85,0
64375,25,3019,236,64,0
131,24,3393,179,97,0
224,106,11240,5379,186,0
9136,34,6362,476,85,0
55272,37,6069,620,46,0
286753,58,3479,1627,26,0
25945,41,4614,728,92,0
56288,84,12796,3182,304,0
3183,384,68387,55739,17797,0
9863,27,3615,334,17,0
84630,9,785,36,0,0
4695,110,10318,4310,1685,0
4707,58,4953,262,1391,0
26227,126,32001,7100,775,0
2885,1079,92799,566802,14779,0
8451,381,51080,64050,8340,0
9169,34,6111,466,95,0
6602,205,27599,19414,1496,0
64599,48,9636,1041,87,0
6772,223,32324,23359,1394,0
7852,49,7450,1063,113,0
10236,273,53259,28994,8134,0
1398,377,36794,68374,2502,0
166,299,32913,42143,2408,0
54915,62,15333,1788,103,0
221150,39,5385,699,42,0
64210,193,22136,17888,640,0
64428,8,4074,22,6,0
50875,89,8199,3334,582,0
85464,25,7637,169,131,0
54487,62,15759,1534,357,0
9987,128,32681,6274,1854,0
57082,40,3500,647,133,0
5478,114,29606,5850,591,0
79800,5,3202,7,3,0
1994,1864,105646,1715428,20888,0
6175,344,56187,38810,20186,0
51362,177,20427,4761,10815,0
9444,67,13800,1913,298,0
8939,65,19517,1809,271,0
2593,12,1527,58,8,0
10667,75,14464,2644,131,0
170954,105,17121,5117,343,0
8894,74,17716,2425,276,0
9493,100,19662,3985,965,0
2130,696,74687,234254,7606,0
2185,90,11792,3484,521,0
84527,7,1762,11,10,0
386680,137,8895,7987,1329,0
84996,14,1839,82,9,0
337879,70,5149,2207,208,0
64326,79,15617,2600,481,0
8454,761,81274,268834,20346,0
23405,221,36536,15540,8770,0
4839,141,33451,7146,2724,0
6193,282,47713,24191,15430,0
282322,4,661,5,1,0
6462,63,5791,1922,31,0
63893,77,15398,2789,137,0
2542196,1,499,0,0,0
6634,221,38057,17150,7160,0
74764,7,441,15,6,0
3799,128,21717,7631,497,0
6733,458,42997,101253,3400,0
8926,35,9928,441,154,0
55064,3,167,3,0,0
2802,40,10426,734,46,0
282323,6,554,15,0,0
5577,69,6581,2189,157,0
151194,25,5069,252,48,0
3313,264,56236,30618,4098,0
83660,30,3425,417,18,0
23543,108,17564,5340,438,0
6311,62,15751,1718,173,0
595,110,24797,5265,730,0
5000,45,9027,828,162,0
10450,178,18350,5173,10580,0
3550,195,29446,9243,9672,0
23345,174,33486,6933,8118,0
6134,446,51591,80465,18770,0
1677,14,6642,72,19,0
4082,45,13878,873,117,0
10399,284,54114,33796,6390,0
920,123,22808,4943,2560,0
2624,63,14681,1757,196,0
161882,10,1255,42,3,0
4240,6,1092,15,0,0
3693,67,10262,2091,120,0
85451,295,37169,41780,1585,0
54940,28,9241,361,17,0
2335,790,89465,293866,17789,0
6218,174,34398,6148,8903,0
23243,99,14537,4539,312,0
8897,14,2847,84,7,0
3727,54,10771,1219,212,0
4779,27,3338,310,41,0
226,139,24107,8675,916,0
10551,60,9564,1712,58,0
80012,30,4011,274,161,0
51400,92,12403,3846,340,0
1936,164,35632,12212,1154,0
51265,32,8461,478,18,0
26088,64,10649,1866,150,0
56970,30,4301,286,149,0
389856,3,166,2,1,0
55832,698,75207,223142,20111,0
1832,112,23769,5732,484,0
5079,54,6611,1364,67,0
639,27,6330,312,39,0
861,100,16412,4398,552,0
84705,22,2637,229,2,0
26003,143,18270,9895,258,0
6117,492,66294,112653,8133,0
5557,37,8356,412,254,0
10449,55,10774,1300,185,0
6342,42,5644,777,84,0
22974,45,10178,911,79,0
3551,222,36321,22096,2435,0
23081,10,4361,32,13,0
3065,609,53407,176906,8230,0
64112,26,3387,315,10,0
84217,52,4072,1277,49,0
7112,119,24149,6568,453,0
1105,32,11297,412,84,0
220134,51,5650,1198,77,0
3796,71,13219,2361,124,0
10266,10,137,32,13,0
10268,17,2186,115,21,0
80067,7,1562,11,10,0
8450,382,59673,63857,8914,0
16319,6,648,6,9,0
284119,79,12737,2885,196,0
64757,15,2969,96,9,0
84084,3,479,3,0,0
10140,47,13106,923,158,0
26229,28,1463,361,17,0
9554,75,13837,2551,224,0
10875,11,426,53,2,0
10007,44,6581,837,109,0
1891,75,11909,2506,269,0
56922,22,5445,197,34,0
5549,17,1572,125,11,0
80746,26,1379,303,22,0
27000,20,5093,167,23,0
7535,69,12652,1975,371,0
10598,167,34868,12043,1818,0
10575,188,35795,15521,2057,0
5272,37,7136,618,48,0
10980,319,40934,47453,3268,0
6320,35,2551,586,9,0
4928,92,17682,3678,508,0
57062,130,27395,6998,1387,0
11103,139,28515,5318,4273,0
2689,3,82,3,0,0
23173,16,2662,116,4,0
2308,74,13839,2344,357,0
3219,81,13337,3030,210,0
11340,103,15385,4906,347,0
116071,29,3662,369,37,0
375,97,12825,4368,288,0
55738,45,8712,942,48,0
5985,86,20871,3261,394,0
627,20,6155,181,9,0
4951,6,1121,12,3,0
157506,10,1945,16,29,0
57665,10,158,15,30,0
286075,61,6918,1650,180,0
64969,178,27930,8631,7122,0
27373,37,4028,612,54,0
3190,365,67239,57182,9248,0
55504,13,1989,68,10,0
84894,21,3729,183,27,0
128308,101,6926,1932,3118,0
740,110,14155,2632,3363,0
3691,83,16656,3157,246,0
118460,54,9370,1209,222,0
51079,94,6897,2858,1513,0
2273,42,10982,763,98,0
9659,102,13005,4931,220,0
4809,343,42684,40500,18153,0
9410,202,29447,8960,11341,0
8834,25,2650,285,15,0
89885,91,3684,4024,71,0
11035,113,21531,5703,625,0
2074,55,14141,1238,247,0
56292,37,2780,651,15,0
1785,137,23024,8887,429,0
26413,4,1143,5,1,0
8462,20,5755,175,15,0
9883,71,10009,2403,82,0
8449,183,25089,7677,8976,0
30846,24,3334,253,23,0
7412,444,67533,88445,9901,0
16,55,13881,1235,250,0
22806,161,19563,12190,690,0
84619,69,9961,2135,211,0
8339,244,22514,29171,475,0
10902,46,6517,666,369,0
9400,52,6513,1196,130,0
9401,22,3159,217,14,0
55147,42,7614,790,71,0
23513,60,15091,1687,83,0
64225,22,3606,219,12,0
7086,152,21835,10201,1275,0
5358,56,14009,1355,185,0
26240,48,7284,1056,72,0
116541,85,3964,545,3025,0
79446,31,5300,427,38,0
84518,17,1488,123,13,0
6235,155,24424,4556,7379,0
57410,36,9193,558,72,0
144108,12,2069,65,1,0
2258,8,2607,23,5,0
3945,155,25367,10788,1147,0
1655,447,70732,77746,21935,0
9416,205,25914,9562,11348,0
79590,117,16057,3168,3618,0
54148,112,11713,2872,3344,0
51375,18,3461,138,15,0
8354,65,10290,1706,374,0
8361,104,21367,4476,880,0
23607,116,15205,6227,443,0
2932,360,42570,62461,2159,0
9627,29,4732,373,33,0
1004,6,403,8,7,0
28513,1,5,0,0,0
11228,52,8799,1223,103,0
5108,269,22022,33651,2395,0
695,121,17716,6753,507,0
498,213,50544,17103,5475,0
9968,92,12852,3212,974,0
9412,106,13017,4090,1475,0
8481,272,23737,34483,2373,0
9135,81,11656,3124,116,0
175,11,1344,49,6,0
3043,40,5802,734,46,0
11346,171,18378,11924,2611,0
474168,1,5,0,0,0
7976,6,166,15,0,0
10189,250,44056,18315,12810,0
2072,103,21863,2580,2673,0
6950,289,51791,32506,9110,0
6184,262,47028,25866,8325,0
6176,251,40885,19052,12323,0
355,119,13832,6676,345,0
27159,21,666,205,5,0
54820,58,13328,1529,124,0
11461,181,14574,15137,1153,0
9330,61,13040,1586,244,0
57614,9,1247,27,9,0
8453,507,66741,116430,11841,0
4925,25,4381,272,28,0
10250,277,40623,25026,13200,0
57727,45,9889,890,100,0
865,43,8072,853,50,0
9139,36,5855,571,59,0
10152,182,23457,15554,917,0
170394,4,727,6,0,0
9491,50,6649,1130,95,0
84708,495,40829,120021,2244,0
10921,301,41229,33489,11661,0
10197,193,28461,17406,1122,0
112399,42,6038,791,70,0
468,87,13053,3482,259,0
22144,68,6592,2181,97,0
7267,30,5964,415,20,0
1203,49,5167,1128,48,0
292,333,52541,37115,18163,0
8775,56,9708,1310,230,0
359845,5,847,9,1,0
84988,45,5204,942,48,0
51776,50,9724,1162,63,0
27023,133,14429,8481,297,0
55052,101,8755,1859,3191,0
6181,191,39193,8592,9553,0
6224,259,46252,21656,11755,0
7277,215,40441,20446,2559,0
9070,94,16367,3655,716,0
5936,155,35818,8528,3407,0
83939,111,27421,2970,3135,0
9343,292,43141,28895,13591,0
94104,139,16969,1119,8472,0
8021,82,17771,2884,437,0
10097,159,26922,10924,1637,0
55197,44,11588,839,107,0
8087,168,34498,11337,2691,0
55833,25,5721,265,35,0
6777,80,12989,2765,395,0
79892,40,9375,679,101,0
51379,18,3079,131,22,0
81704,39,4397,693,48,0
27254,3,1287,3,0,0
3868,99,18279,4352,499,0
3889,39,7863,579,162,0
10884,106,6407,2238,3327,0
84311,109,8285,2560,3326,0
249,7,2608,16,5,0
51474,202,34626,17146,3155,0
525,97,6375,4513,143,0
3329,377,69636,61305,9571,0
6613,258,33177,31748,1405,0
84842,14,820,90,1,0
7314,256,45243,30616,2024,0
29966,80,12446,2668,492,0
170082,116,18065,6410,260,0
10870,10,2469,35,10,0
79465,9,553,34,2,0
1031,48,7056,1079,49,0
51129,13,3426,61,17,0
57379,64,11605,1858,158,0
5223,54,10333,1214,217,0
71,185,32549,15583,1437,0
93661,2,451,0,1,0
20403,21,2883,160,50,0
1622,25,2325,289,11,0
10970,83,22427,3203,200,0
7430,174,27225,14063,988,0
57716,9,1956,25,11,0
3032,103,22591,4735,518,0
79180,32,8924,401,95,0
202051,31,6648,399,66,0
386675,290,17036,40012,1893,0
10716,4,555,5,1,0
9641,390,50668,72379,3476,0
1287,35,7286,550,45,0
22918,26,2681,311,14,0
3915,35,7835,545,50,0
3912,39,7377,699,42,0
6262,31,5675,400,65,0
5500,253,33311,29213,2665,0
580,280,38523,36993,2067,0
4436,130,22901,7460,925,0
2617,97,15138,4225,431,0
7511,71,11946,2280,205,0
4172,128,27228,7241,887,0
7415,608,77572,176326,8202,0
25839,27,6109,280,71,0
5152,56,7164,1425,115,0
8270,62,8832,1808,83,0
27339,272,42155,23449,13407,0
84687,56,10424,1326,214,0
5499,354,48409,59110,3371,0
7525,154,21295,11206,575,0
51134,22,3272,223,8,0
90525,2,140,1,0,0
1741,86,8377,3504,151,0
8914,30,4173,396,39,0
5111,388,52368,68733,6345,0
64960,168,22897,7445,6583,0
51253,115,14994,3198,3357,0
4088,415,46324,82491,3414,0
4774,45,10815,801,189,0
5048,72,11095,2332,224,0
10939,55,12447,1294,191,0
54477,83,13067,3273,130,0
27346,16,5529,113,7,0
55379,149,36235,7155,3871,0
10933,130,21795,7619,766,0
3837,338,55434,50877,6076,0
10905,11,1046,45,10,0
11253,8,897,21,7,0
51747,179,28816,6299,9632,0
6628,315,38103,36125,13330,0
50628,271,41094,26102,10483,0
9820,647,82552,193741,15240,0
871,91,21613,3745,350,0
229841,83,8049,3287,116,0
116447,12,2748,65,1,0
8290,252,28867,29601,2025,0
5335,279,27228,36626,2155,0
5921,95,15696,3949,516,0
85302,235,26896,23793,3702,0
84254,31,8101,421,44,0
5562,179,25116,15259,672,0
125988,17,1921,134,2,0
346157,14,600,89,2,0
55729,91,9838,3950,145,0
7532,540,72867,135594,9936,0
9516,43,7543,795,108,0
23327,190,22851,17501,454,0
9618,150,18654,10715,460,0
10392,30,6396,367,68,0
4174,302,54518,38306,7145,0
1290,9,1002,31,5,0
780,26,5720,305,20,0
5450,62,4632,1818,73,0
353332,59,6984,1121,590,0
7529,396,47909,75162,3048,0
3831,75,12881,2554,221,0
4168,24,3525,262,14,0
6837,42,3612,308,553,0
64753,135,11184,8810,235,0
79165,76,13738,2619,231,0
84437,10,1518,44,1,0
2342,45,2889,967,23,0
30012,85,5823,3456,114,0
79759,29,7264,364,42,0
5208,36,7596,558,72,0
51538,27,5397,341,10,0
63875,100,6801,1695,3255,0
92181,17,2750,129,7,0
387867,10,6046,1,44,0
9798,47,6328,1000,81,0
8906,21,3988,180,30,0
26270,622,61702,186339,6792,0
55573,44,5682,880,66,0
6238,48,10203,1041,87,0
728113,7,1003,15,6,0
145226,28,3055,337,41,0
222642,17,1281,136,0,0
4985,39,4822,649,92,0
5578,393,41700,74599,2429,0
1312,39,5764,683,58,0
4129,49,2357,864,312,0
6604,66,9266,1602,543,0
23542,92,9780,4072,114,0
6590,15,1566,100,5,0
55697,121,13338,7082,178,0
80778,36,3856,518,112,0
5894,207,33016,19915,1406,0
598,110,11053,5683,312,0
4122,19,2475,163,8,0
1107,188,29845,15903,1675,0
5997,64,8426,1961,55,0
23354,36,7504,447,183,0
5204,185,19431,16472,548,0
79722,13,1237,72,6,0
57805,121,27472,6527,733,0
56946,35,6083,539,56,0
5094,195,44454,10894,8021,0
6203,368,57388,45052,22476,0
23281,359,24537,63578,683,0
1650,176,34040,11479,3921,0
3703,29,6838,371,35,0
1019,203,34500,19195,1308,0
862,103,13906,4987,266,0
171482,48,6146,1086,42,0
1659,211,28693,10622,11533,0
51503,189,24038,6709,11057,0
672,607,66338,176625,7296,0
5630,48,8813,1000,128,0
192666,43,8171,757,146,0
3336,137,18709,8540,776,0
5931,230,27724,23648,2687,0
2316,359,51439,59377,4884,0
23524,330,51962,39894,14391,0
4361,128,24158,6939,1189,0
2237,60,14719,1615,155,0
3885,268,19080,34991,787,0
2887,60,14634,1542,228,0
5626,367,21898,66436,725,0
27327,61,10090,1671,159,0
53981,80,17272,2427,733,0
6883,87,11992,2883,858,0
84823,61,16576,1643,187,0
283234,42,5007,801,60,0
1630,43,6893,790,113,0
36,47,3716,749,332,0
549,27,1173,189,162,0
7417,191,35261,14219,3926,0
8662,140,30177,5943,3787,0
126328,64,2974,634,1382,0
4700,62,2867,502,1389,0
27303,9,1074,15,21,0
51335,16,2624,104,16,0
9189,62,6550,1843,48,0
9533,261,41950,27376,6554,0
24812,5,726,0,10,0
811,156,32499,10941,1149,0
5159,109,16285,5257,629,0
4040,40,4859,748,32,0
8260,70,10713,2331,84,0
1499,395,60338,73793,4022,0
5494,55,7903,1401,84,0
3275,58,7409,1579,74,0
6256,154,18709,10769,1012,0
10892,41,9862,651,169,0
8792,18,4880,120,33,0
5826,5,483,10,0,0
2547,283,48036,37180,2723,0
54623,58,10509,1389,264,0
27005,81,10649,3015,225,0
57673,22,5214,213,18,0
10138,52,6468,1128,198,0
4638,62,11628,1708,183,0
58506,19,4898,156,15,0
9448,69,13294,2226,120,0
90850,32,6841,462,34,0
55696,188,21619,6760,10818,0
1514,43,5654,867,36,0
51213,99,17328,4415,436,0
57187,221,26892,15063,9247,0
3480,91,20555,3580,515,0
55816,24,2681,270,6,0
3718,92,10358,3893,293,0
3932,254,34379,28260,3871,0
54715,48,3962,992,136,0
